Dataset,Model,train_split,avg_OA,avg_AA,avg_Kappa,num_runs
IP,DBNN,0.1,0.974928737226852,0.8955439695292918,0.9749330767880611,5
IP,DBNN,0.05,0.8938242442915341,0.772301590506507,0.8938133388112846,6
IP,DBNN,0.15,0.9888085399449036,0.928564484663681,0.9888072551945816,2
IP,DBNN,0.2,0.9874390243902439,0.9225931715854468,0.9874374923771192,1
IP,NOAT,0.1,0.970840108401084,0.8662706384291264,0.9708369470945359,6
IP,NOGUIDE,0.1,0.9717253839205059,0.8890630496254653,0.9717223185891877,6
IP,NOMULTI,0.1,0.9713459801264679,0.8895130576676374,0.9713428736629085,6
IP,NOPCA,0.1,0.808021680216802,0.7217444349906151,0.8080008673026885,7
IP,NORES,0.1,0.9672628726287263,0.8791045566665597,0.967259323503903,6
IP,NOTR,0.1,0.9674074074074074,0.8638419222565,0.9674038739520093,6
IP,SVM,0.3,0.8224390243902439,0.8402455496284851,0.7992262535919171,2
IP,SVM,0.1,0.7502439024390244,0.7538999283086067,0.7181207594411125,1
